,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q98.500,0.3736689814814815,0.06641483455866129,0.754234739901774,0.12207981829980533,57045,105778,2452,7525,0.38785879629629627,0.08619066131052654,1.0,0.15870263735564533,57045,105778,0,9977
Q98.600,0.384224537037037,0.06599094436092932,0.7347900170391901,0.1211054944328807,59063,103760,2646,7331,0.399537037037037,0.08771991524306075,1.0,0.1612913655689736,59063,103760,0,9977
Q98.700,0.393431712962963,0.06518669307511737,0.71253883933046,0.11944586795258458,60876,101947,2868,7109,0.4100289351851852,0.08914084557378221,1.0,0.16369020762750103,60876,101947,0,9977
Q98.800,0.40315393518518516,0.06486930852157016,0.6960008018442417,0.11867752493099647,62721,100102,3033,6944,0.4207060185185185,0.090634907657228,1.0,0.16620577064036784,62721,100102,0,9977
Q98.900,0.4115451388888889,0.06465517241379311,0.6825699107948281,0.11812150383764798,64305,98518,3167,6810,0.4298726851851852,0.09195815475367529,1.0,0.16842798298332098,64305,98518,0,9977
Q99.000,0.4208275462962963,0.06484110885733604,0.6728475493635361,0.11828345388390143,66006,96817,3264,6713,0.43971643518518516,0.09342285147105643,1.0,0.17088146885785,66006,96817,0,9977
Q99.100,0.4319733796296296,0.06545436625271042,0.6656309511877317,0.1191884203630751,68004,94819,3336,6641,0.4512789351851852,0.0952040154204359,1.0,0.17385622053967398,68004,94819,0,9977
Q99.200,0.4435763888888889,0.06607583463417091,0.6576125087701714,0.12008565780803868,70089,92734,3416,6561,0.4633449074074074,0.09713662606731509,1.0,0.17707298026409202,70089,92734,0,9977
Q99.300,0.4557638888888889,0.0668123215813177,0.64979452741305,0.12116624614522008,72273,90550,3494,6483,0.4759837962962963,0.09924696847613079,1.0,0.18057264895388403,72273,90550,0,9977
Q99.400,0.4687615740740741,0.06745540859157759,0.639470782800441,0.12203752940951432,74622,88201,3597,6380,0.4895775462962963,0.10162154454154698,1.0,0.18449447552124265,74622,88201,0,9977
Q99.500,0.47954861111111113,0.06512493065451262,0.6000801844241757,0.11749813557326215,76879,85944,3990,5987,0.5026388888888889,0.10401267709886261,1.0,0.18842659918034338,76879,85944,0,9977
Q99.600,0.4911284722222222,0.062320337765001795,0.556279442718252,0.1120838508375996,79317,83506,4427,5550,0.5167476851851852,0.10672528695056856,1.0,0.1928668084283781,79317,83506,0,9977
Q99.700,0.506105324074074,0.06201766620176662,0.5348301092512779,0.11114698438818127,82119,80704,4641,5336,0.532962962962963,0.11002304782699794,1.0,0.19823560968825132,82119,80704,0,9977
Q99.800,0.5241724537037037,0.061113406070031344,0.5041595670041095,0.10901249417552528,85547,77276,4947,5030,0.5528009259259259,0.11434563854537953,1.0,0.20522472487915253,85547,77276,0,9977
Q99.900,0.5600115740740741,0.061674651943673935,0.4657712739300391,0.10892597627865548,92123,70700,5330,4647,0.5874363425925926,0.11719901106310716,0.9407637566402727,0.20843187546495232,92123,70700,591,9386
Q100.000,0.8918344907407407,0.013727678571428571,0.012328355216999098,0.012990441991867772,153986,8837,9854,123,0.9084895833333333,0.2535056597398209,0.3007918211887341,0.27513179005271604,153986,8837,6976,3001
