,Accuracy,Precision,Recall,F1,tn,fp,fn,tp,Accuracy_PA,Precision_PA,Recall_PA,F1_PA,tn_PA,fp_PA,fn_PA,tp_PA
Q96.700,0.3275173611111111,0.07195125882466716,0.8948581737997394,0.133193098664041,47667,115156,1049,8928,0.33358796296296295,0.07973116603933415,1.0,0.1476870697949819,47667,115156,0,9977
Q96.800,0.3321122685185185,0.06997308100171303,0.8597774882229127,0.1294138058491178,48811,114012,1399,8578,0.34020833333333333,0.08046681560461008,1.0,0.1489482405983608,48811,114012,0,9977
Q96.900,0.34372685185185187,0.07259097633747406,0.8803247469179112,0.13412231808811179,50613,112210,1194,8783,0.35063657407407406,0.08165353106304271,1.0,0.15097908658938894,50613,112210,0,9977
Q97.000,0.352662037037037,0.07139070953194282,0.8504560489124987,0.13172397733447178,52455,110368,1492,8485,0.3612962962962963,0.08290331962275126,1.0,0.15311305842451772,52455,110368,0,9977
Q97.100,0.35977430555555556,0.0712326199563795,0.8380274631652801,0.1313043273421121,53808,109015,1616,8361,0.3691261574074074,0.08384597283851015,1.0,0.15471935116190713,53808,109015,0,9977
Q97.200,0.36734953703703704,0.0712898632028654,0.8279041796131101,0.1312757267049157,55218,107605,1717,8260,0.3772858796296296,0.08485142283682877,1.0,0.15642957376586522,55218,107605,0,9977
Q97.300,0.3744675925925926,0.07358731648804402,0.8485516688383281,0.13542999744049142,56242,106581,1511,8466,0.38321180555555556,0.0855968702276978,1.0,0.15769549926897697,56242,106581,0,9977
Q97.400,0.38222800925925926,0.07338211955563392,0.834218703016939,0.13489793106801623,57726,105097,1654,8323,0.3917997685185185,0.08670073170307802,1.0,0.15956689670614388,57726,105097,0,9977
Q97.500,0.38158564814814816,0.06966393945047038,0.7860078179813571,0.12798459354038483,58096,104727,2135,7842,0.39394097222222224,0.08698040172966941,1.0,0.16004042315990408,58096,104727,0,9977
Q97.600,0.38826967592592593,0.06907106973729225,0.7689686278440413,0.12675649106574916,59421,103402,2305,7672,0.4016087962962963,0.08799689536863088,1.0,0.16175946042348974,59421,103402,0,9977
Q97.700,0.3922627314814815,0.06881533101045297,0.7601483411847249,0.12620543329034406,60199,102624,2393,7584,0.4061111111111111,0.08860489693697214,1.0,0.16278614433258823,60199,102624,0,9977
Q97.800,0.4004224537037037,0.0703074804956402,0.7677658614814072,0.12881851892337318,61533,101290,2317,7660,0.4138310185185185,0.08966719692271742,1.0,0.16457721619214147,61533,101290,0,9977
Q97.900,0.4013773148148148,0.06820722726810743,0.7399017740803849,0.1249005972624063,61976,100847,2595,7382,0.41639467592592594,0.09002562621814769,1.0,0.1651807518149684,61976,100847,0,9977
Q98.000,0.4036863425925926,0.06702210808396605,0.7219605091710936,0.12265749389096545,62554,100269,2774,7203,0.41973958333333333,0.09049761442592022,1.0,0.16597489665039136,62554,100269,0,9977
Q98.100,0.40936342592592595,0.06564908540324331,0.6975042597975343,0.12000344887049492,63779,99044,3018,6959,0.4268287037037037,0.09151447886187065,1.0,0.16768349047883158,63779,99044,0,9977
Q98.200,0.4166666666666667,0.067051835750174,0.7049213190337776,0.12245573102571693,64967,97856,2944,7033,0.4337037037037037,0.09252269713353055,1.0,0.16937441643323997,64967,97856,0,9977
Q98.300,0.4203935185185185,0.06570798378008727,0.6837726771574621,0.11989455184534273,65822,97001,3155,6822,0.43865162037037037,0.09326216605283329,1.0,0.17061262878885042,65822,97001,0,9977
Q98.400,0.4276331018518518,0.06635718186783178,0.6819685276135111,0.1209460240150027,67091,95732,3173,6804,0.44599537037037035,0.09438174611433274,1.0,0.1724841380979548,67091,95732,0,9977
Q98.500,0.43408564814814815,0.06948080600088248,0.7102335371354115,0.12657866061699505,67924,94899,2891,7086,0.45081597222222225,0.09513139326442656,1.0,0.17373512228674912,67924,94899,0,9977
Q98.600,0.44376157407407407,0.0693682074047412,0.6953994186629248,0.12615233558194086,69744,93079,3039,6938,0.46134837962962966,0.0968114423226207,1.0,0.17653251705254216,69744,93079,0,9977
Q98.700,0.4484201388888889,0.06735819594005395,0.6658314122481708,0.12233998471440805,70844,91979,3334,6643,0.46771412037037036,0.09785593785554553,1.0,0.17826735636496832,70844,91979,0,9977
Q98.800,0.4613888888888889,0.06806391583237169,0.6562092813470983,0.12333515438087522,73181,89642,3430,6547,0.4812384259259259,0.1001515775103143,1.0,0.18206868863827147,73181,89642,0,9977
Q98.900,0.47071180555555553,0.06850243592459225,0.6482910694597575,0.12391160665536366,74871,87952,3509,6468,0.4910185185185185,0.10187993342115206,1.0,0.18492020832947198,74871,87952,0,9977
Q99.000,0.48178819444444443,0.06908129887572298,0.639270321740002,0.12468842555936775,76875,85948,3599,6378,0.5026157407407408,0.10400833984884024,1.0,0.18841948216275423,76875,85948,0,9977
Q99.100,0.4936747685185185,0.06992898357745228,0.6316528014433196,0.12591785967611416,79005,83818,3675,6302,0.5149421296296296,0.10637027560104483,1.0,0.19228693674594305,79005,83818,0,9977
